what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321905855051
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1321905867614
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1321905873677
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321905887034
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321905923381
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906106345
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321906109057
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906112969
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906116585
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1321906117769
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1321906122523
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1321906125063
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1321906131126
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321906149783
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321906156235
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321906157046
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1321906171245
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321906172569
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321906210521
executed,command,com.altera.sbtgui.project,11.0.0.157,"com.altera.sbtgui.popupmenu.removefrombuild",1321906212220
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906213000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906215228
executed,command,com.altera.sbtgui.project,11.0.0.157,"com.altera.sbtgui.popupmenu.addtobuild",1321906218953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906219717
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906221774
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321906221806
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321906221806
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321906224486
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321906224689
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321906224720
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1321906240135
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1321906242660
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1321906248676
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321906252089
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906343408
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906382762
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321906384617
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321906393423
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1321906408573
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906419686
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906425000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906425000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906428897
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321906430097
executed,command,com.altera.sbtgui.project,11.0.0.157,"com.altera.sbtgui.popupmenu.addtobuild",1321906433495
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906434258
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906435100
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1321906435194
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1321906437796
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321906439698
executed,command,com.altera.sbtgui.project,11.0.0.157,"com.altera.sbtgui.popupmenu.removefrombuild",1321906442363
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906443142
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906446836
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906449673
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906451668
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906451699
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906463093
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321906463093
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1321906465088
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1321906467690
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321906468501
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1321906476590
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906481702
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906483386
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906483401
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321906488809
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1321906494654
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1321906497179
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1321906503226
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321906513560
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321906534648
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321906534960
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321906534991
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1321906536768
